שם היישות,סוג ישות,שם רשמי,שם באנגלית,"מספר ח""פ",מקום מושב הישות,תיאור כללי,מקור - תיאור כללי,שנת הקמה,אתר אינטרנט,זרם,מקור - זרם דתי,תואר - איש,קהל יעד,רקע ומטרות,מקור לרקע ומטרות,,,"מס""ד"
היברו יוניון קולג',מוסד אקדמי,"היברו יוניון קולג', המכון למדעי היהדות, ירושלים",,580002178,,"משמש מרכז להכשרה רוחנית ומקצועית ליהדות הרפורמית. בוגרותיו ובוגריו - רבנים, מחנכים, חזנים ועובדים קהילתיים - משרתים בקודש בקהילות צפון אמריקה, ישראל וארצות רבות נוספות. הקולג' מעניק תארי מוסמך ודוקטור במדעי היהדות לתלמידיו, בני דתות ואמונות שונות. הוא משתרע על ארבעה קמפוסים: סינסינטי, ניו-יורק, לוס אנג'לס וירושלים. ספריית הקולג' שמרכזה בסינסינטי היא אחת הספריות הגדולות בעולם בתחום היהדות. בקמפוסים השונים פועלת שורה של מרכזי מחקר ומוסדות ציבוריים ומצויים בהם ארכיונים שונים ואוספים מוזיאליים רבי ערך. הקמפוס הירושלמי נוסד בשנת 1963 והיה המוסד הדתי -ליברלי הראשון ללימודי יהדות שקבע את מושבו בישראל. כיום מתקיימות בו התוכניות האלה:",,,,,,,,,,,,78
"היברו יוניון קולג' בארה""ב",מוסד אקדמי,,,,,,,,,,,,,,,,,79
"היחידה למגדר באו""ם",מדינה זרה - גוף ממשלתי,,,,,,,,,,,,,,,,,80
הכל חינוך,ארגון,הכל חינוך- התנועה לקידום החינוך בישראל,,580492817,,,,,,,,,,,,,,81
הלל ישראל,ארגון,"הלל ישראל בע""מ",Hillel Israel,513989087,,"הלל ישראל פועל בשמונה מרכזים באוניברסיטאות ומכללות ברחבי הארץ תוך שיתוף פעולה עם עשרות ארגונים חברתיים, מוסדות חינוך וגופים ממשלתיים ומוניציפליים. מדי שנה כ-20,000 סטודנטים וצעירים לוקחים חלק בתכניות ובאירועים המופעלים על ידי מרכזי הלל בישראל. הלל ישראל הנו המרכז הישראלי של ארגון הלל העולמי אשר פועל בכ-500 קמפוסים ב-15 מדינות שונות והוא מהווה את הבסיס לפעילותו הגלובלית של הארגון העולמי.",,,,,,,,לחזק את זהותם היהודית של סטודנטים ישראלים ולהעמיק את תחושת שייכותם לעם היהודי וזאת באמצעות חשיפתם והעמקת היכרותם עם המגוון הרחב של קהילות וזהויות יהודיות הקיימות בעולם כיום.,http://hillelisrael.org/,,,82
המגבית היהודית הבריטית,קרן,,,,,,,,,,,,,,,,,83
המגבית היהודית המאוחדת,קרן,U.J.A.,UJA,,,,,,,,,,,,,,,84
המגבית המאוחדת אוסטרליה,קרן,,,,,,,,,,,,,,,,,85
המדרשה באורנים,ארגון,"""אורנים"" - המכללה האקדמית לחינוך התנועה הקיבוצית",HaMidrasha at Oranim: Educational Center for Israeli Judaism,580003978,,המדרשה היא חלק מהמכללה...,,,,,,,,,,,,86
המכון הגרמני לקשרי חוץ,קרן,,,,,,,,,,,,,,,,,87
המכון הדמוקרטי,ארגון,המכון הדמוקרטי - חברה וחינוך,,580330660,,,,,,,,,,,,,,88
המכון החרדי למחקרי מדיניות,ארגון,המכון החרדי למחקרי מדיניות,,580595304,,,,,,,,,,,,,,89
