שם היישות,סוג ישות,שם רשמי,שם באנגלית,"מספר ח""פ",מקום מושב הישות,תיאור כללי,מקור - תיאור כללי,שנת הקמה,אתר אינטרנט,זרם,מקור - זרם דתי,תואר - איש,קהל יעד,רקע ומטרות,מקור לרקע ומטרות,,,"מס""ד"
שבי קורזון,איש,,,,,מוקד סיוע לעובדים זרים,,,,,,,,,,,,4958
פרץ קדרון,איש,,,,,יש גבול,,,,,,,,,,,,4959
שרי ריבקין,איש,,,,,,,,,,,,,,,,,4960
יונתן שפירא,איש,,,,,מכתב הטייסים.,,,,,,,,,,,,4961
ג'ודי בלנק,איש,,,,,"ממייסדות ""בת שלום""",,,,,,,,,,,,4962
יונתן בן-ארצי,איש,,,,,סרבן מצפון,,,,,,,,,,,,4963
שרון בן-עזר,איש,,,,,מוזיקאית,,,,,,,,,,,,4964
לינה יאסין ו-כנרת להד,איש,,,,,תעאיוש,,,,,,,,,,,,4965
נועה לוי,איש,,,,,"סרבנית מצפון מפעילות ""מכתב השמיניסטים""",,,,,,,,,,,,4966
ג'סיקה מונטל,איש,,,,,"מנכ""לית ""בצלם""",,,,,,,,,,,,4967
יעקוב מנור,איש,,,,,"ממייסדי ""הועד נגד הריסת בתים""",,,,,,,,,,,,4968
מאיר מרגלית,איש,,,,,"מנכ""ל ""קול בשכונות""",,,,,,,,,,,,4969
חיה נוח,איש,,,,,"רכזת מטעם ""שתיל"" של ""פורום הארגונים למאבק באבטלה""",,,,,,,,,,,,4970
ג'יהאד סעד,איש,,,,,"מזכ""ל ""ועד היוזמה הדרוזי""",,,,,,,,,,,,4971
שרלוט קרסון,איש,,,,,"The International Solidarity Movement וילדים מעמותת ""יד ביד - המרכז לחינוך יהודי ערבי"".",,,,,,,,,,,,4972
אביה עתי,איש,,,,,סרבנית כיבוש,,,,,,,,,,,,4973
אריק אשרמן,איש,,,,,,,,,,,,,,,,,4974
דוד טרטקובר,איש,,,,,"איש סגל בבצלאל במחלקה לתקשורת חזותית. מעצב. אמן, חתן פרס ישראל",,,,,,,,,,,,4975
ורד מדר,איש,,,,,,,,,,,,,,,,,4976
חוה קלר,איש,,,,,נשים למען אסירות פוליטיות,,,,,,,,,,,,4977
טלי גור,איש,,,,,,,,,,,,,,,,,4978
יגאל ברונר,איש,,,,,איש סגל באונ 'העברית במחלקה ללימודי מזרח אסיה. תעאיוש,,,,,,,,,,,,4979
יהודית אלקנה,איש,,,,,,,,,,,,,,,,,4980
יואב קריים,איש,,,,,מטה המאבק של הנכים,,,,,,,,,,,,4981
ישי רוזן צבי,איש,,,,,סרבן דיכוי,,,,,,,,,,,,4982
לינא דלאשה,איש,,,,,תעאיוש,,,,,,,,,,,,4983
סלמרן נאטור,איש,,,,,סופר ומחזאי.,,,,,,,,,,,,4984
ראובן אברג'יל,איש,,,,,"ממנהיגי ""הפנתרים השחורים""",,,,,,,,,,,,4985
חולוד בדאוי,איש,,,,,OCHA,,,,,,,,,,,,4986
ענת בילצקי,איש,,,,,"איש סגל באונ 'תל אביב במחלקה לפילוסופיה. יו""ר בצלם",,,,,,,,,,,,4987
סאלם ג'ובראן,איש,,,,,משורר,,,,,,,,,,,,4988
נטע גולן,איש,,,,,,,,,,,,,,,,,4989
אילן גילאון,איש,,,,,"ח""כ מטעם מר""צ",,,,,,,,,,,,4990
יואב הס,איש,,,,,,,,,,,,,,,,,4991
דן יקיר,איש,,,,,"משפטן ויועץ משפטי של האגודה לזכויות האזרח בישראל; היה חבר בוועדה המייעצת לנציבות שוויון הזדמנויות בעבודה; בוגר תוכנית המשפטנים של הקרן החדשה לישראל משנת. עובד מאז כעו""ד וכיועץ המשפטי של האגודה לזכויות האזרח בישראל",,,,,,,,,,,,4992
נועם כוזר,איש,,,,,"מפלגת ""הפיראטים""",,,,,,,,,,,,4993
משה נגבי,איש,,,,,פעיל זכויות אדם,,,,,,,,,,,,4994
דליה קרשטיין,איש,,,,,"מנכ""לית ""המוקד להגנת הפרט""",,,,,,,,,,,,4995
חיה שלום,איש,,,,,פעילת שלום פמיניסטית.,,,,,,,,,,,,4996
עקיבא אור,איש,,,,,"ממייסדי ""מצפן""",,,,,,,,,,,,4997
נמרוד אשל,איש,,,,,סופר ופעיל חברתי,,,,,,,,,,,,4998
נאום באדר,איש,,,,,,,,,,,,,,,,,4999
שמחה בניטה,איש,,,,,ממובילות מאבק הנכים,,,,,,,,,,,,5000
תמר גוז'נסקי,איש,,,,,פוליטיקאית ופעילה חברתית,,,,,,,,,,,,5001
זוהרה חדד,איש,,,,,,,,,,,,,,,,,5002
אחסאן טועמה,איש,,,,,,,,,,,,,,,,,5003
סרג'יו יאני,איש,,,,,AIC,,,,,,,,,,,,5004
רלה מזלי,איש,,,,,סופרת ופעילה חברתית,,,,,,,,,,,,5005
סמי מיכאל,איש,,,,,"סופר; נשיא האגודה לזכויות האזרח בישראל; בעל תואר דוקטור לשם כבוד מארבע אוניברסיטאות בישראל וחתן פרסים ספרותיים רבים, ביניהם פרס נשיא המדינה לספרות על מפעל חיים ופרס א.מ.ת.. נשיא ""האגודה לזכויות האזרח""",,,,,,,,,,,,5006
מיכל פונדק-שגיא,איש,,,,,רעות- קבוצת נשים ובנות זוג של חיילי מילואים התומכות בסירוב לשרת בשטחים,,,,,,,,,,,,5007
מאיר פעיל,איש,,,,,פעיל שמאל,,,,,,,,,,,,5008
שהר שעבנה.,איש,,,,,,,,,,,,,,,,,5009
אורי אבנרי,איש,,,,,גוש שלום,,,,,,,,,,,,5010
שולמית אלוני,איש,,,,,"הקימה את מר""צ",,,,,,,,,,,,5011
דוד אנוך,איש,,,,,איש סגל באונ 'העברית במחלקה למשפטים ופילוסופיה. סרבן. פרופ' לפילוסופיה ולמשפטים באוניברסיטה העברית,,,,,,,,,,,,5012
נורי אל-עוקבי,איש,,,,,האגודה לסיוע ולהגנה על זכויות הבדואים,,,,,,,,,,,,5013
שלמה וזנה,איש,,,,,,,,,,,,,,,,,5014
נתן זך,איש,,,,,משורר,,,,,,,,,,,,5015
יובל לוטם,איש,,,,,סרבן,,,,,,,,,,,,5016
יהודה מלצר,איש,,,,,,,,,,,,,,,,,5017
גילה סבירסקי,איש,,,,,פעילה חברתית,,,,,,,,,,,,5018
לאה צמל,איש,,,,,"עו""ד ומגינת זכויות אדם",,,,,,,,,,,,5019
אליס שלוי,איש,,,,,איש סגל באונ 'העברית במחלקה לספרות אנגלית. אשת חינוך.,,,,,,,,,,,,5020
שרי אהרוני,איש,,,,,"דוקטור שרי אהרוני
חוקרת פמיניסטית בתחום היחסים הבינלאומיים ב""מרכז לחקר החינוך לשלום"" באוניברסיטת חיפה, משמשת כעמיתת הוראה באוניברסיטה העברית וממייסדות מרכז המחקר הפמיניסטי חיפה. עבודת הדוקטורט שלה, שהושלמה בבר-אילן (2009), עסקה בהיבטים המגדריים ובשילוב נשים ישראליות בתהליך המשא ומתן בין ישראל לאש""ף בשנות התשעים. אהרוני היתה פוסט-דוקטורנטית במכון לאונרד דיוויס באוניברסיטה העברית ומרצה אורחת באוניברסיטת מישיגן, אן-ארבור. תחומי מחקרה העיקריים הם שילוב נשים בתהליכי שלום ודיפלומטיה, מגדר והסכסוך הישראלי-פלסטיני, אונס במלחמה ותיאוריות פמיניסטיות של ביטחון ויחסים בינלאומיים. מסמך המדיניות האחרון שפרסמה בעברית הוא ""נשים, שלום וביטחון: החלטה 1325 של מועצת הביטחון בהקשר הישראלי"" (מרכז שוות, מכון ון-ליר, 2015).",,,www.saraiaharoni.com,,,דוקטור,,,,,,5021
גילי הרטל,איש,,,,,"דוקטור גילי הרטל
",,,https://biu.academia.edu/GillyHartal,,,דוקטור,,,,,,5022
יאלי השש,איש,,,,,"דוקטור יאלי השש
",,,https://independent.academia.edu/YaliHashash,,,דוקטור,,,,,,5023
ענבל וילמובסקי,איש,,,,,"דוקטור ענבל וילמובסקי
בעלת תואר ראשון בפסיכולוגיה ותקשורת מאוניברסיטת חיפה ובעלת תואר שני ודוקטורט בקרימינולוגיה מהאוניברסיטה העברית בירושלים. מרצה במכון לקרימינולוגיה ובמרכז ללימודי נשים ומגדר באוניברסיטה העברית, בתכנית ללימודי מגדר בתל אביב ובמכללה האקדמית ספיר. עוסקת במחקר פמיניסטי בנושאים של קרימינולוגיה ומגדר ופעילה בתחום של אלימות כלפי נשים בזירות שונות כגון דייטינג, הטרדת רחוב ועוד. תחומי התמחות נוספים הם עבריינות נשים, זנות וסחר בנשים והגוף נשי במרחבים שונים. בנוסף חוקרת, רוקדת ומלמדת מחול מזרחי.",,,,,,דוקטור,,,,,,5024
עדי מורנו,איש,,,,,"דוקטור עדי מורנו
בוגרת מ.א. בסוציולוגיה ואנתרופולוגיה מאוניברסיטת תל אביב, ודוקטורט בסוציולוגיה מאוניברסיטת מנצ'סטר. עבודת הדוקטורט שלה עוסקת בבחינה של הורות באמצעות פונדקאות בקרב גברים הומואים בישראל. תחומי המחקר שלה הם: תיאוריה קווירית, סוציולוגיה של המדע ו- Actor-Network-Theory, טכנולוגיות פריון והשינויים במבנה המשפחה בחברה בת זמננו. כיום עוסקת בליווי והנחיה של תלמידים לתארים מתקדמים והנחיית כתיבה אקדמית.",,,https://manchester.academia.edu/AdiMoreno,,,דוקטור,,,,,,5025
אבתסאם ברכאת,איש,,,,,"דוקטורנטית במחלקה ללימודי מגדר באוניברסיטת בר-אילן. עבודת הדוקטורט שלה בוחנת ""אסטרטגיות ופרקטיקות פעולה של נשים דרוזיות כנגד יחסי כוח מרובים"". תחומי מחקרה העיקריים הם מגדר ואסטרטגיות פעולה בחברות מסורתיות, נשים ודת, המרחב הציבורי בחברה המערבית לעומת החברה המסורתית, שיטות מחקר איכותניות ובעיקר, בחינת היחסים בין חוקרת ילידה לבין השדה.",,,,,,,,,,,,5026
איבון דויטש,איש,,,,,"המעברה ו-""קואליציית נשים לשלום"". עובדת סוציאלית ופעילת שלום פמיניסטית ותיקה. עובדת היום כפסיכותרפיסטית בשותפות עם ""הבית הפתוח"" - המרכז הלהט""בי בירושלים ועם ""חכמת נשים"" בתל אביב. הייתה בין המארגנות של ""נשים בשחור"" באינתיפאדה הראשונה ובין מייסדות ""נשים ושלום"" ו""קול בירושלים"". בעלת התנסות אישית כרכזת ומייסדת, וההתבוננות בהשפעות שחיקה על יחסי האנוש ותרבות ההתארגנות בשדה הפמיניסטי, הובילו אותה להתעניין ולהיות חלק מקבוצה בינלאומית אשר גיבשה מנשר על feminist ethics of care. איבון לימדה בארץ ובחו""ל כלים לטיפול עצמי להתמודדות עם שחיקה, טראומה, חרדה ודיכאון. בעבר פרסמה מאמרים בעיקר על אקטיביזם של נשים נגד הכיבוש ולמען שלום. היום מעוניינת לראיין, לשוחח ולתעד נשים בשנות ה- 80 לחייהן, אשר עדיין עומדות מדי שבוע לבושות שחור במחאה על הכיבוש.",,,,,,,,,,,,5027
נעמה נגר,איש,,,,,"דוקטורנטית לסוציולוגיה באוניברסיטת וויסקונסין-מדיסון ובעלת תואר שני בסוציולוגיה פוליטית מהלונדון סקול אוף אקונומיקס. חוקרת את הממשק שבין פוליטיקה מגדר וכלכלה ומתעניינת במיוחד בתנועות חברתיות בישראל ובארה״ב. בעלת נסיון בהוראת קורסים בסוציולוגיה ובמגדר, באקטיביזם פמיניסטי פוליטי, בניהול והנחיית קבוצות דיאלוג בין תרבותי, ובפיתוח משאבים לארגונים לשינוי חברתי. כמו-כן כותבת על ענייני השעה בבמות חברתיות שונות, בין השאר ״העוקץ״, ״הגדה השמאלית״, Open Democracy ועוד.",,,,,,,,,,,,5028
רות פרסר,איש,,,,,"דוקטור רות פרסר
עמיתת מחקר במכון למחקר תרבות בברלין, עמיתת הוראה באוניברסיטת חיפה וממייסדות מרכז המחקר הפמיניסטי והארכיון הלסבי-קווירי באשה לאשה - מרכז פמיניסטי חיפה. חוקרת מגדר בהכשרתה ונאראטולוגית וחוקרת תרבות בעבודתה האקדמית. פרסר עוסקת בהצטלבות בין מגדר, מיניות ופוליטיקת השייכות. עבודת הדוקטורט שלה עסקה בשארות קווירית, אזרחות אינטימית והמרחב הציבורי בישראל. פרויקט בתר-הדוקטורט שלה עוסק בהגירה, מיניות וקהילות דיאספוריות בברלין. מלמדת קורסים בלימודי תרבות, מתודולוגיות פרשניות, תיאוריה קווירית וגישות ביקורתיות לרב תרבותיות ולאזרחות. פרסר השלימה דוקטורט בתכנית ללימודי מגדר באוניברסיטת בר-אילן (2012) ומחקר בתר-דוקטורט במכון לאתנולוגיה אירופאית והתכנית ללימודי מגדר באוניברסיטת הומבולדט בברלין (2013-2012) ובמכון למחקר תרבות בברלין (2014-2013). בין פרסומיה האחרונים A Methodology of Damage (International Journal of Social Research Methodology), ודברים שלמדתי מרות (תיאוריה וביקורת). בימים אלו משלימה כתב יד לספר המבוסס על עבודת הדוקטורט שלה.",,,www.ici-berlin.org/profile/preser,,,דוקטור,,,,,,5029
ליאת קוזמא,איש,,,,,"פרופסור ליאת קוזמא
ליאת קוזמא היא חברת סגל בחוג ללימודי האסלאם והמזרח התיכון באוניברסיטה העברית בירושלים. את הדוקטורט שלה השלימה במסלול המשולב של היסטוריה ולימודי המזרח התיכון באוניברסיטת ניו יורק. כיום היא משמשת כראשת מרכז לבציון לחקר האסלאם באוניברסיטה העברית, כעורכת שותפה, לצד און ברק ואבנר וישניצר, של הבלוג ""הסדנה להיסטוריה חברתית"" באתר הארץ, וכן כחברת הוועד המארגן של פורום היסטוריוניות.
היא פרסמה את נשים כותבות היסטוריה: פמיניזם ושינוי חברתי במרוקו (מרכז דיין, 2003), Policing Egyptian Women: Sex, Law and Medicine in Egypt 1850-1882 (Syracuse University Press, 2011) ; וכן את Global Women, Colonial Ports: Regulated Prostitution in the Interwar Middle East (SUNY press, 2017). היא ערכה, בין השאר, את לנוכח בית הדין השרעי: מעמדן של נשים מוסלמיות במזרח התיכון ובישראל (רסלינג, 2011); וביחד עם היבא יזבק את מגדר ומעמד אישי: נשים מוסלמיות בישראל (פרדס, 2017). מאמריה עוסקים בפמיניזם מרוקאי, בסקסולוגיה בתרגום במזרח התיכון המודרני, בהיסטוריה של סמים במצרים ושכנותיה וכן בהיסטוריה של מחקר רפואי באיזור.
החל בספטמבר 2017, היא תנהל פרויקט מחקר, במימון מועצת המחקר של האיחוד האירופי (ERC) תחת הכותרת: היסטוריה איזורית של רפואה במזרח התיכון, 1960-1830.",,,,,,פרופסור,,,,,,5030
יעל רוזין,איש,,,,,"דוקטור יעל רוזין
בוגרת המדרשה לאמנות, בעלת תואר ראשון בפילוסופיה וב.א כללי מאוניברסיטת תל אביב, תואר שני ושלישי בתכנית הבין-תחומית, לימודי מגדר באוניברסיטת בר אילן. עבודת התיזה של יעל בחנה את ממד החברות של המרחב הווירטואלי בכינון קהילה לסבית ועבודת הדוקטורט שלה מציגה מחקר ביקורתי על מופעי מלכי הדראג בישראל. יעל מלמדת בחוג לניהול וכלכלה באוניברסיטה הפתוחה, ובתכנית לתואר מוסמך במדיניות ותיאוריה של האמנויות בבצלאל. תחומי המחקר שלה הם תיאוריה קווירית, ביקורת ופרשנות של תרבויות, תרבות חזותית, וטכנולוגיה ומגדר.",,,,,,דוקטור,,,,,,5031
יעל חסון,איש,,,,,"דוקטורנטית לסוציולוגיה בחוג לסוציולוגיה ואנתרופולוגיה באוניברסיטת חיפה. עבודת הדוקטורט שלה בוחנת את השדה הכלכלי בישראל, על היבטיו הממוגדרים, מנקודת המבט של נשים כלכלניות. משנת 2004 חסון חוקרת ומרצה במרכז אדוה, מכון מחקר המתמחה בניטור של מגמות חברתיות וכלכליות ובניתוח של המדיניות הממשלתית לפי אמות המידה של שוויון וצדק חברתי. במסגרת זו גם שותפה לפיתוח ידע ופרקטיקות של הטמעת חשיבה מגדרית (gender mainstreaming) במדיניות כלכלית-חברתית ובתקציבים לאומיים ומוניציפליים (gender budgeting) בישראל. תחומי התמחות: סוציולוגיה של מגדר, נשים בכלכלה, תיאוריות פמיניסטיות בכלכלה, נשים בשוק העבודה ואי שוויון.. ד""ר יעל חסון, חוקרת ומרצה במרכז אדוה ומנהלת את המחקר בתחום המגדר. בעלת תואר דוקטור לסוציולוגיה מאוניברסיטת חיפה ועוסקת בנושאים של מדיניות כלכלית ומגדר.",,,,,,,,,,,,5032
ניקול כיאט,איש,,,,,"דוקטור ניקול כיאט
ניקול כיאט היא היסטוריונית של המזרח התיכון המודרני. היא חברת הוועד המארגן של פורום ההיסטוריוניות של המאות התשע-עשרה והעשרים. את עבודת הדוקטורט שלה Historiography and Translation during the Arabic Nahḍa: European History in Arabic השלימה באוניברסיטת חיפה (2017). היא עמיתת הוראה באוניברסיטה העברית שם היא מעבירה קורס על הנהדה הערבית במאה ה-19 ביחידה ללימודים מתקדמים של בית הספר לתלמידים מחו""ל ע""ש רוטברג. יצרה ארכיון המבוסס על תמונות מחיי פלשתינים בעיר חיפה לפני 1948 והיתה שותפה בארגון תערוכה במוזיאון בעיר חיפה שהציגה מהארכיון. היא מתעניינת בהיסטוריה אינטלקטואלית תרבותית של העולם דובר הערבית, כתבה על התאטרון הערבי המודרני וכיום חוקרת רופאים ורפואה בפרובינציות הערביות של האמפריה העות'מאנית במאה ה-19 במסגרת פוסט-דוקטורט באוניברסיטה העברית בפרוייקט ""'היסטוריה אזורית של רפואה במזרח התיכון 1830-1960"".",,,https://shamash.academia.edu/NicoleKhayat,,,דוקטור,,,,,,5033
שרון מפציר,איש,,,,,"דוקטור שרון מפציר
שרון מפציר, היסטוריונית חברתית-תרבותית של המזרח התיכון. מחקריה מתמקדים בזהות ופרפורמנס של מגדר בחברה המצרית המודרנית. השאלות העיקריות שמעניינות אותה הן הקשר בין שינויים חברתיים מבניים לתרבות ולהתנסות היומיומית בתחום המשפחה, הרגשות והמיניות. שרון מלמדת בתכנית לתואר שני בלימודי נשים ומגדר באוניברסיטת חיפה. היא חברת הוועד המארגן של פורום ההיסטוריוניות של המאות התשע-עשרה והעשרים. מאמרה ""Emotional Change: Romantic Love and the University in Post-Colonial Egypt""עומד להתפרסם בקרוב ב- Journal of social History. מרצה",,,​,,,דוקטור,,,,,,5034
ענת קדרון,איש,,,,,"דוקטור ענת קדרון
ענת קדרון חוקרת היסטוריה של ערים מעורבות בתקופה המנדטורית ותהליכי הבניית לאומיות בתקופת היישוב וראשית תקופת המדינה. עבודת הדוקטורט שלה עסקה בקהילה העברית של חיפה בתקופת המנדט (אוניברסיטת חיפה, 2007). ספרה ""בין לאום ומקום - הקהילה העברית בחיפה המנדטורית"" יצא בהוצאת יד יצחק בן צבי ב 2011. מרצה בכירה במכללה האקדמית אוהלו, דיקנית הפקולטה ללימודי הרוח והחברה וראש החוג ללימודי א""י. מאז שנת 2013 מתאמת אקדמית של מכון שומאכר לחקר ארץ ישראל בעת החדשה, אוניברסיטת חיפה ועמיתת מחקר באוניברסיטה. במסגרת זו ניהלה בשנת 2015 יחד עם ד""ר נעמה בן זאב את קבוצת המחקר ""גבולות וחציית גבולות בין קהילות בארץ ישראל/פלסטין במאות 20-19"" . בשנת 2016 ניהלה את קבוצת המחקר ""על תודעת המקום בחקר א""י בעת החדשה"".",,,https://haifa.academia.edu/AnatKidron,,,דוקטור,,,,,,5035
רן תיאודור-בכור,איש,,,,,,,,,,,,,,,,,5036
יעל בן יפת,איש,,,,,,,,,,,,,,,,,5037
נירה חיות,איש,,,,,,,,,,,,,,,,,5038
תקוה טגואדה-אליו,איש,,,,,,,,,,,,,,,,,5039
איתמר טס,איש,,,,,,,,,,,,,,,,,5040
נסים יפרח,איש,,,,,,,,,,,,,,,,,5041
ענת יצחקי,איש,,,,,,,,,,,,,,,,,5042
נאדיה כנאנה,איש,,,,,,,,,,,,,,,,,5043
פאדי כנעאן,איש,,,,,,,,,,,,,,,,,5044
בן לב-קדש,איש,,,,,,,,,,,,,,,,,5045
רוני ליאור,איש,,,,,,,,,,,,,,,,,5046
ז'נה מודזגברישוילי,איש,,,,,,,,,,,,,,,,,5047
עומר מרקוביץ,איש,,,,,,,,,,,,,,,,,5048
דוד נחמן,איש,,,,,,,,,,,,,,,,,5049
פידאא' עודי,איש,,,,,,,,,,,,,,,,,5050
מרים פינק לביא,איש,,,,,,,,,,,,,,,,,5051
עדו פלזנטל,איש,,,,,,,,,,,,,,,,,5052
מיכל שפרון-זכריה,איש,,,,,,,,,,,,,,,,,5053
נטע אורן,איש,,,,,,,,,,,,,,,,,5054
בלה אלכסנדרוב,איש,,,,,,,,,,,,,,,,,5055
יוני אנזל,איש,,,,,,,,,,,,,,,,,5056
יונתן בוימפלד,איש,,,,,,,,,,,,,,,,,5057
יצחק בן דוד,איש,,,,,,,,,,,,,,,,,5058
איתי בנוביץ',איש,,,,,,,,,,,,,,,,,5059
ענת טהון-אשכנזי,איש,,,,,,,,,,,,,,,,,5060
חגית יוגב,איש,,,,,,,,,,,,,,,,,5061
ליאור ילין-פריינד,איש,,,,,,,,,,,,,,,,,5062
אופיר לוי,איש,,,,,,,,,,,,,,,,,5063
זיוה מקונן-דגו,איש,,,,,,,,,,,,,,,,,5064
טל נבוני,איש,,,,,,,,,,,,,,,,,5065
עדי ניר-בנימיני,איש,,,,,,,,,,,,,,,,,5066
מאי פונדק,איש,,,,,,,,,,,,,,,,,5067
מוחמד קונדס,איש,,,,,,,,,,,,,,,,,5068
שלומית רביצקי-טור-פז,איש,,,,,"שלומית רביצקי טור-פז נולדה בירושלים. היא עורכת דין, מרצה ומנחת קבוצות בנושאי יהדות, חברה, מגדר ומשפט. בעבר ייסדה וניהלה את מכון 'עתים' ושימשה גם כטוענת רבנית. היא ייסדה גם את 'שערים', בית מדרש ישראלי פלורליסטי בתוך ישיבת מעלה גלבוע ושימשה כמנחת מורים ליהדות, כמדריכה במטה לתרבות ישראל במשרד החינוך וכחברת ועד המנהל ב'קולך'. לשלומית תואר ראשון ושני במשפטים מהאוניברסיטה העברית והיא בוגרת לימודי יהדות במסגרות אקדמיות ובית מדרשיות שונות. נשואה למשה (קינלי) טור פז ואם לחמישה מתוקים.. שלומית נולדה בירושלים. היא עורכת דין, מרצה ומנחת קבוצות בנושאי יהדות, חברה, מגדר ומשפט. שימשה גם עו""ד בבתי מדרש רבניים. בנוסף ייסדה את 'שערים', בית מדרש ישראלי פלורליסטי בתוך ישיבת מעלה גלבוע ושימשה כמנחת מורים ליהדות. לשלומית תואר ראשון ושני במשפטים מהאוניברסיטה העברית והיא בוגרת לימודי יהדות במסגרות אקדמיות ובית מדרשיות שונות.",,,,,,,,,,,,5069
דוד שמחון,איש,,,,,,,,,,,,,,,,,5070
רצות ומשפיעות,פורום,,,,,"רצות ומשפיעות הוא פורום נשים בין-מפלגתי שמורכב מפעילות מרכזיות בפורומי נשים, תאים וחוגים פמיניסטיים מהמפלגות השונות המרכיבות את כל הקשת הפוליטית. את הפורום הקימו פעילות פמיניסטיות מימין, שמאל ומרכז המפה הפוליטית, במטרה להעלות את מספר הנשים הפעילות ציבורית ופוליטית - מתפקדות, משתתפות, ורצות לתפקידים - בתוך מפלגות, ברשויות המקומיות, בעולם הציבורי ובכנסת. מטרה נוספת של הפורום היא לרשת ולהרחיב את שיתופי הפעולה בין נשים פעילות מכל הקשת הפוליטית. על רקע הפוליטיקה המפרידה והמפלגת, אנחנו מקדמות פוליטיקה של שיח רחב ושיתופי פעולה, פוליטיקה שרואה שרב הדומה על השונה ומקדמת את הטוב המשותף.",,,,,,,,,,,,5071
"לוט""ם - היחידה ללוחמה בטרור מגדרי",ארגון,,,,,"היחידה ללוחמה בטרור המגדרי מאגדת נשים פרטיות בכל רחבי הארץ שלא מוכנות לשתוק יותר ויוצאות במחאה פמיניסטית אקטיביסטית כנגד אלימות מינית ומגדרית, וכנגד הדרה ואפליה של נשים. לוט""ם מורכבת מיחידות גרילה שקמות לצורך פעולה זו או אחרת ונעלמות לאחריה. הפעילות היא במסגרת החוק, גם אם בהפתעה. ",,,,,,,,,,,,5072
כולן - לקידום השיח והעשייה הפמיניסטית בישראל,ארגון,,,,,"כולן הינה תנועת שטח פמיניסטית שהוקמה על ידי קבוצת אקטיביסטיות ששמו להן למטרה להשמיע את קולן של נשים ונפגעות אלימות מינית בפרט, בציבור הישראלי. אנו רואות בקידום השיח הפמיניסטי בכלל וברשתות החברתיות בפרט גורם לשינוי משמעותי בחברה הישראלית. אנו פועלות לקידום והנגשת הביקורת והעשייה של התנועה הפמיניסטית, ולהוביל את דעת הקהל בתחומים הנוגעים לחייהן של נשים. אלפי הפעילות שלנו לוקחות חלק בצעדת השרמוטות ת""א-יפו, פרוייקט הכשרת אקטיביסטיות, הסברה ברשתות החברתיות, אירועי קהילה, אחוות התאים הפמיניסטיים, ומחאות פמיניסטיות נוספות ברשת ומחוץ לה. ",,,,,,,,,,,,5073
אני אישה אני בוחרת,מיזם,,,,,"אני אישה אני בוחרת היא יוזמת ההמשך הטבעית של מחאת הנשים לקראת הבחירות, בהובלת מנהיגות מחאת הנשים וקואליציית ארגונים. זהו קמפיין רחב היקף בו נדרוש מהנבחרות והנבחרים שלנו לשים בראש סדר העדיפויות את ביטחוננו האישי, את זכותנו לשוויון בפני החוק ואת דרישתנו לתקציבים לשיפור מצבן של נשים. אנחנו קוראות לנשים, כל הנשים, שמחזיקות בכל דעה ומצביעות לכל מפלגה: הצביעו ב-9 באפריל לשינוי המציאות של נשים. אנחנו הרוב - ובשלטון הרוב - צריך לפעול בשם הרוב. המטרה שלנו היא שחברות וחברי כנסת בכל המפלגות, ימין מרכז ושמאל, ישימו בראש סדר העדיפויות של בחירות 2019 מאבקים לקידום מצבן של נשים מכל חלקי החברה בישראל. נשים קובעות את סדר היום - משנות את המחר. ",,2019,,,,,,,,,,5074
פוליטיקאיות צעירות,מיזם,,,,,"פוליטיקאיות צעירות - מעזות, משפיעות, מנהיגות, הנה תכנית חינוכית- חברתית שפועלת באוניברסיטאות המובילות בישראל, ומטרתה עידוד נשים צעירות להיכנס לשדה הפוליטי כנבחרות ציבור, ברמה הארצית והמקומית. במהלך התכנית, המתקיימת בשעות הערב בקמפוס, נפגשות המשתתפות עם נשים מובילות - פוליטיקאיות, יועצות, פעילות ונשות מקצוע, המאפשרות הצצה אל הזירה הפוליטית בגובה העיניים. בנוסף מקבלות כלים מעשיים לחיזוק הביטחון העצמי, בניית חזון, דיבור מול קהל ושכנוע וכן נוסעות לסיורים בכנסת ובעירייה המקומית. בכל קבוצה משתתפות 22-18 סטודנטיות מצויינות, הנבחרות לאחר מיונים. הקבוצות מונהגות על-ידי סטודנטיות מתנדבות. המיזם נוסד בשנת 2015 על-ידי ניצן סניור שניאור, עיתונאית ויזמית חברתית, ונתמך על-ידי אגודות הסטודנטיות והסטודנטים באוניברסיטה העברית, בן גוריון, תל- אביב וחיפה וכן התאחדות הסטודנטיות והסטודנטים הארצית. ",,,,,,,,,,,,5075
ראיד אבו אלקיעאן,איש,,,,,"יו""ר הוועד המקומי של היישוב אום אלחיראן בנגב",,,,,,,,,,,,5076
מוסא אבו סהיבאן,איש,,,,,ראש העיר רהט לשעבר,,,,,,,,,,,,5077
אמל אבו סעד,איש,,,,,"דוקטור אמל אבו סעד
ראש תוכנית הכשרה לגננות במגזר הבדואי, מכללת קיי",,,,,,דוקטור,,,,,,5078
ת'אבת אבו ראס,איש,,,,,"דוקטור ת'אבת אבו ראס
ד""ר לגיאוגרפיה פוליטית",,,,,,דוקטור,,,,,,5079
יונס אבו רביעה,איש,,,,,"דוקטור יונס אבו רביעה
רופא, באר שבע",,,,,,דוקטור,,,,,,5080
ארנון אברון,איש,,,,,"פרופסור ארנון אברון
איש סגל באונ 'תל אביב במחלקה למדעי המחשב. פרופ' למדעי המחשב באוניברסיטת תל אביב",,,,,,פרופסור,,,,,,5081
